Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),
Configuration Field Inputs,50,50,2,0,0,15,V1,v,10000,I2,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Frequency,ROCOF,
 ,4.54,1.11267041157,10.968053685,0.064105032483,134.874166525,49.989626375,0.00845447468267,
 ,4.56,1.11318246762,11.0593752827,0.0641808361637,135.056558296,49.9880777555,0.0110222819508,
 ,4.58,1.11363558628,11.1648792648,0.0642457758998,135.246883234,49.9862507507,0.0133517782742,
 ,4.6,1.1140247349,11.2861320608,0.0642984826104,135.443372094,49.9841860324,0.0153864359348,
 ,4.62,1.11434645026,11.4243439122,0.0643379733539,135.644470087,49.9819299982,0.0170771177394,
 ,4.64,1.11459838426,11.5803404346,0.0643635776127,135.848882225,49.979533594,0.018383378266,
 ,4.66,1.11477880266,11.7545439004,0.0643748588271,136.055597497,49.977051024,0.0192745002069,
 ,4.68,1.11488609212,11.9469646005,0.0643715443426,136.263889032,49.9745383865,0.0197302279494,
 ,4.7,1.11491833283,12.1572023217,0.0643534747906,136.473289853,49.9720522815,0.0197411600366,
 ,4.72,1.11487299234,12.3844576387,0.0643205801701,136.683546866,49.9696484383,0.0193087709555,
 ,4.74,1.11474678873,12.627552374,0.0642728853045,136.894558623,49.9673804138,0.0184450469857,
 ,4.76,1.11453575768,12.8849582494,0.0642105427172,137.106304384,49.9652984085,0.0171717389311,
 ,4.78,1.1142355362,13.1548324551,0.0641338870214,137.318772662,49.9634482432,0.015519260188,
 ,4.8,1.11384184925,13.435058641,0.0640435020437,137.531896628,49.9618705305,0.0135252966547,
 ,4.82,1.11335115684,13.7232917552,0.0639402901937,137.745501853,49.9606000544,0.011233242107,
 ,4.84,1.11276139402,14.0170052396,0.0638255329686,137.95926934,49.959665353,0.00869061175333,
 ,4.86,1.11207271979,14.3135393299,0.0637009317975,138.172714315,49.9590884756,0.00594759246208,
 ,4.88,1.11128818586,14.6101495213,0.0635686196976,138.385179251,49.9588848767,0.00305584248776,
 ,4.9,1.11041424484,14.9040545123,0.0634311365103,138.595838448,49.9590634084,6.75612808467e-05,
 ,4.92,1.10946103624,15.1924830408,0.0632913639481,138.803711012,49.9596263947,-0.00296525725932,
 ,4.94,1.10844241482,15.4727189142,0.063152421223,139.007679188,49.9605697935,-0.00599155115855,
