Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),
Configuration Field Inputs,50,50,8,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Frequency,ROCOF,
 ,3.56,1.04400339746,2.75751797779,0.251364707764,-28.4427729238,0.428128168553,175.914016384,0.136177625087,-179.232293328,0.309894804143,158.74027781,0.927994906304,82.5577956234,1.20975595872,-137.20131328,13.6649508234,-179.651525392,49.9830857073,0.00217511086627,
 ,3.58,1.04400836744,2.88158390803,0.247332001762,-28.211485643,0.424647619825,175.908356677,0.120923298912,-177.961182134,0.306112449084,158.674974163,0.928367193292,83.0090803889,1.22505860846,-138.188936738,13.5846690166,-179.587761345,49.9828771445,0.00183113287989,
 ,3.6,1.04401340232,3.00667539038,0.243238153921,-27.9780084871,0.421210260184,175.904352222,0.105626202861,-176.323204322,0.301600272005,158.567672772,0.928739836067,83.4100726211,1.24269668017,-139.262015667,13.5037132513,-179.523091909,49.9827126699,0.00148282543449,
 ,3.62,1.04401853769,3.13247774359,0.239098782329,-27.7431060401,0.417831168194,175.902287697,0.0903696974595,-174.136656544,0.296420722402,158.417897005,0.929108055987,83.7723889073,1.263001142,-140.421119406,13.4223414038,-179.457655389,49.982591998,0.00113458270745,
 ,3.64,1.04402380467,3.2586840491,0.234930669951,-27.5075592295,0.414525126153,175.902462981,0.0752651664979,-171.080498999,0.290646303108,158.225347262,0.929471917623,84.1083991222,1.28628323215,-141.662190901,13.3408026619,-179.391594802,49.9825143165,0.000790662510548,
 ,3.66,1.04402922914,3.38499862779,0.23075150365,-27.2721540171,0.411306489029,175.905190979,0.0604867140409,-166.538853209,0.284358843919,157.990021524,0.929835340445,84.4309534019,1.31282274285,-142.976804202,13.2593356585,-179.325055691,49.9824783156,0.000455118360036,
 ,3.68,1.04403483121,3.51114021865,0.22657959048,-27.0376698994,0.40818905914,175.91079485,0.0463662094373,-159.208735746,0.277648612422,157.71236597,0.930205378089,84.75310198,1.34285514056,-144.352695164,13.178166949,-179.258183802,49.982482226,0.000131736689,
 ,3.7,1.04404062473,3.63684481369,0.222433558214,-26.8048684929,0.40518596855,175.919604693,0.0336897787526,-146.084516406,0.270613270297,157.39345999,0.930591834081,85.08781183,1.37655836086,-145.774538361,13.0975098536,-179.191122645,49.9825238627,-0.000176019681734,
 ,3.72,1.04404661703,3.76186811148,0.218332047447,-26.5744824839,0.402309571023,175.931953766,0.0246185091768,-121.036457995,0.263356686144,157.035238237,0.931007233055,85.4476845025,1.41404035093,-147.224908601,13.0175636763,-179.124010978,49.9826006758,-0.000465060826043,
 ,3.74,1.04405280882,3.88598755928,0.214293402906,-26.3472052212,0.399571345117,175.948174321,0.0234674619834,-84.0909281238,0.255987619161,156.640749083,0.931467115825,85.8446797541,1.45532849632,-148.685338105,12.9385133041,-179.056980222,49.9827098045,-0.000732710907721,
